Year	Month	TMax	TMin	PAR	PREC	CO2
1600-1950	1	3.19	-9.36	273.21	38.65	315.7
1600-1950	2	6.25	-8.24	347.02	27.72	315.88
1600-1950	3	11.2	-5.73	415.15	6.42	315.62
1600-1950	4	17.01	-0.53	485.09	25.08	315.56
1600-1950	5	19.69	3.39	498.07	26.41	315.5
1600-1950	6	25.68	8.52	536.11	27.79	315.92
1600-1950	7	28.62	11.64	510.14	93.56	315.66
1600-1950	8	25.81	10.04	456.33	87.93	315.81
1600-1950	9	24.92	8.52	416.39	40.12	316.55
1600-1950	10	18.14	1.54	367.24	12.79	316.19
1600-1950	11	12.93	-3.15	295.24	2.92	316.78
1600-1950	12	7.98	-10.2	295.89	6.88	316.52
1951	1	1.65	-12.58	307.29	47.73	316.51
1951	2	8.2	-6.16	383.0	10.26	316.47
1951	3	7.57	-6.06	396.61	54.28	316.49
1951	4	12.37	-3.64	502.12	38.96	316.86
1951	5	19.4	2.83	482.78	30.65	317.24
1951	6	27.4	9.47	529.45	6.67	317.36
1951	7	27.89	12.0	455.43	98.07	317.3
1951	8	27.76	11.29	422.14	79.35	316.92
1951	9	24.34	8.26	413.33	16.31	316.87
1951	10	17.73	2.18	352.58	52.89	316.76
1951	11	10.73	-2.74	301.75	59.01	316.98
1951	12	5.07	-9.46	259.8	16.28	317.13
1952	1	2.95	-10.8	308.41	15.28	317.03
1952	2	4.52	-8.21	389.87	29.53	317.28
1952	3	10.18	-5.25	451.99	35.29	317.47
1952	4	18.7	-0.06	496.75	2.16	317.27
1952	5	25.61	5.22	515.65	5.22	317.7
1952	6	31.27	9.92	537.65	0.42	317.48
1952	7	30.34	12.4	477.06	52.03	317.7
1952	8	27.89	10.54	453.41	63.32	317.8
1952	9	25.0	7.65	395.09	17.36	317.49
1952	10	19.28	1.72	377.5	15.37	318.35
1952	11	10.73	-2.81	267.44	31.09	318.13
1952	12	6.89	-6.53	271.89	18.51	317.94
1953	1	3.29	-10.49	303.35	17.91	318.06
1953	2	5.34	-7.83	392.84	26.96	318.11
1953	3	12.73	-2.77	416.14	26.2	318.57
1953	4	14.4	-1.17	544.69	35.2	318.45
1953	5	19.59	3.68	525.82	23.0	318.2
1953	6	24.57	7.46	518.21	23.03	318.27
1953	7	27.35	10.2	484.33	81.5	318.67
1953	8	25.42	9.54	451.99	105.51	318.48
1953	9	25.75	8.03	418.99	12.9	319.03
1953	10	21.35	3.03	351.89	14.12	318.33
1953	11	10.86	-4.97	287.23	19.16	318.62
1953	12	7.11	-7.86	269.82	9.26	318.61
1954	1	6.17	-7.33	321.67	29.94	318.91
1954	2	8.92	-6.45	404.14	6.46	318.68
1954	3	12.24	-3.72	456.3	39.58	318.69
1954	4	12.95	-1.55	504.8	48.3	319.09
1954	5	20.46	4.13	527.88	27.01	319.39
1954	6	25.45	8.45	468.98	54.65	319.16
1954	7	30.99	12.88	481.17	19.71	318.77
1954	8	26.81	10.76	420.7	89.39	318.83
1954	9	25.14	7.56	424.69	12.53	319.06
1954	10	19.05	1.2	334.57	11.49	319.0
1954	11	11.64	-5.16	291.48	18.11	319.1
1954	12	3.89	-10.31	255.41	14.02	319.25
1955	1	1.31	-11.94	307.22	47.57	319.67
1955	2	7.0	-7.87	399.17	4.88	319.61
1955	3	7.63	-5.34	414.57	97.62	319.55
1955	4	12.64	-3.54	480.36	31.94	319.48
1955	5	20.86	3.94	485.38	13.57	319.42
1955	6	29.48	9.9	495.38	2.77	319.69
1955	7	30.55	13.63	459.8	34.14	319.58
1955	8	28.56	11.68	479.01	80.25	319.81
1955	9	23.09	7.41	398.95	48.45	319.56
1955	10	19.53	1.03	344.07	1.88	319.78
1955	11	10.7	-5.76	288.75	15.07	319.72
1955	12	4.38	-9.3	304.02	22.73	319.59
1956	1	5.49	-9.23	319.31	5.8	319.48
1956	2	7.6	-6.34	348.6	42.27	319.97
1956	3	7.89	-5.47	451.43	75.92	319.65
1956	4	15.76	-1.22	456.97	36.11	319.8
1956	5	23.28	3.3	486.51	0.75	319.36
1956	6	29.31	9.8	463.14	11.46	319.65
1956	7	31.0	12.58	476.34	38.44	320.51
1956	8	27.41	10.39	452.18	93.62	319.93
1956	9	22.09	6.04	401.2	54.32	320.68
1956	10	18.7	1.09	350.86	13.72	320.36
1956	11	8.12	-4.19	272.57	88.82	320.87
1956	12	1.85	-10.33	269.55	22.05	320.26
1957	1	1.93	-10.69	310.52	10.46	320.63
1957	2	3.9	-9.22	364.2	11.5	321.1
1957	3	10.34	-5.23	447.3	40.54	321.16
1957	4	15.28	-1.62	518.5	10.12	321.51
1957	5	21.32	4.63	443.98	22.02	321.18
1957	6	24.2	6.86	529.57	22.18	321.52
1957	7	28.1	11.63	504.75	80.33	321.49
1957	8	28.67	10.98	420.31	51.22	321.5
1957	9	25.68	8.36	457.79	23.32	321.54
1957	10	16.28	3.19	366.96	39.84	321.18
1957	11	12.08	-2.79	292.6	8.74	321.84
1957	12	3.85	-10.58	261.49	17.75	321.95
1958	1	5.57	-9.15	313.07	21.36	322.07
1958	2	4.79	-7.01	399.48	29.92	321.94
1958	3	13.5	-3.86	455.47	15.03	321.72
1958	4	15.6	-0.57	483.25	22.86	322.05
1958	5	22.33	3.18	504.39	1.14	322.27
1958	6	28.83	8.04	460.49	2.47	321.94
1958	7	30.75	11.91	460.61	40.98	321.66
1958	8	25.33	10.13	402.12	120.17	322.04
1958	9	24.4	6.41	422.76	29.6	322.19
1958	10	18.5	1.25	370.24	25.19	322.36
1958	11	12.76	-3.56	287.38	4.95	322.78
1958	12	6.51	-10.06	300.04	9.17	322.86
1959	1	4.54	-10.05	313.92	5.48	315.7
1959	2	8.93	-7.64	400.2	17.83	315.88
1959	3	14.9	-2.75	500.53	0.12	315.62
1959	4	17.78	-1.01	517.06	5.56	315.56
1959	5	19.9	2.72	521.88	19.33	315.5
1959	6	26.97	9.57	525.48	19.32	315.92
1959	7	25.89	10.93	461.28	121.76	315.66
1959	8	26.85	10.04	468.93	61.56	315.81
1959	9	22.8	7.45	438.85	72.27	316.55
1959	10	18.28	0.48	348.84	10.15	316.19
1959	11	10.03	-2.94	302.09	65.16	316.78
1959	12	1.66	-10.42	292.58	26.75	316.52
1960	1	0.09	-13.96	321.08	28.36	316.51
1960	2	9.21	-5.35	393.76	14.57	316.47
1960	3	11.23	-6.06	478.67	9.44	316.49
1960	4	15.99	-0.54	479.1	47.81	316.86
1960	5	20.85	3.72	515.34	16.57	317.24
1960	6	30.35	10.76	538.42	11.43	317.36
1960	7	28.13	12.31	414.09	53.73	317.3
1960	8	27.94	11.03	450.1	59.33	316.92
1960	9	23.43	6.87	401.3	32.49	316.87
1960	10	14.67	0.54	387.46	91.71	316.76
1960	11	8.57	-5.38	287.65	39.08	316.98
1960	12	4.19	-9.46	269.11	14.23	317.13
1961	1	2.93	-9.64	318.53	43.29	317.03
1961	2	10.17	-5.01	407.43	16.35	317.28
1961	3	9.04	-4.95	412.89	63.64	317.47
1961	4	15.07	-1.96	520.11	12.39	317.27
1961	5	18.32	2.53	517.91	53.5	317.7
1961	6	22.13	6.47	482.58	22.37	317.48
1961	7	27.5	12.19	447.09	74.41	317.7
1961	8	24.81	10.11	425.94	108.57	317.8
1961	9	23.64	6.8	407.7	23.26	317.49
1961	10	19.35	1.08	379.83	2.84	318.35
1961	11	12.63	-4.96	274.52	11.91	318.13
1961	12	7.47	-6.18	274.96	19.0	317.94
1962	1	8.53	-6.37	326.21	11.5	318.06
